query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,use_match_as_accepted,use_match_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes,name_res_status,done,link
Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haalilioanus (Brack.) K. A. Wilson,accepted,FALSE,0,1,0,NA,NA,American Fern Journal 54: 69. 1964. (Amer. Fern J.) ,http://www.tropicos.org/Name/26602584,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26602584
Adiantopsis tweediana (Hook.) Link-Perez & Hickey,Adiantopsis tweedieana (Hook.) Link-Pérez & Hickey,accepted,FALSE,0,0,0,NA,NA,Taxon 60(5): 1266. 2011. (Taxon) ,http://www.tropicos.org/Name/100375261,spelling mistake in species name; fix according to Tropicos,query and matched_name both need to be fixed. add from new_names.csv,fuzzy,1,http://www.tropicos.org/Name/100375261
Adiantum comorense (Tardieu) Verdc.,Adiantum comoroense (Tardieu) Verdc.,accepted,FALSE,0,1,0,NA,NA,Kew Bulletin 46(2): 272. 1991. (Kew Bull.) ,http://www.tropicos.org/Name/26614577,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26614577
Adiantum digitatum Hook.,Adiantum emarginatum Hook.,ambiguous synonym,FALSE,0,0,1,NA,NA,NA,NA,spelling mistake in species name,"change Adiantum digitatum C. Presl, Adiantum palmatum T. Moore, Adiantum speciosum Hook in WF to synonym",fuzzy,1,NA
Alsophila weidenbrueckiae Lehnert,Alsophila weidenbrueckii Lehnert,accepted,FALSE,1,0,0,NA,NA,"Blumea 61(1): 21, f. 1. (Blumea) ",http://www.tropicos.org/Name/100445482,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100445482
Anemia muenchii Christ,Anemia munchii Christ,accepted,FALSE,1,0,0,NA,NA,"Bulletin de l'Herbier Boissier, sér. 2, 7: 792. 1907. (Bull. Herb. Boissier, sér. 2,) ",http://www.tropicos.org/Name/26600021,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26600021
Anemia phyllitidis var. tweedieana Hassl.,Anemia phyllitidis var. tweediana (Hook.) Hassl.,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,query and matched_name both need to be fixed. add from new_names.csv,fuzzy,1,NA
Arachniodes coadnata (Ching) Nakaike,Arachniodes coadunata (Ching) Nakaike,synonym,FALSE,1,0,0,NA,NA,,http://www.tropicos.org/Name/100393753,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100393753
Arachniodes davalliiformis (H.Christ) Nakaike,Arachniodes davalliaeformis (Christ) Nakaike,accepted,FALSE,1,0,0,NA,NA,New Fl. Jap. Pterid. 839 (1992).,https://www.ipni.org/n/17560080-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17560080-1
Arachniodes dimorphophylla (Hayata) Ching,Arachniodes dimorphophyllum (Hayata) Ching,synonym,FALSE,1,0,0,NA,NA,Acta Botanica Sinica 10(3): 257. 1962. (Acta Bot. Sin.) ,http://www.tropicos.org/Name/26609186,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26609186
