query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,use_match_as_accepted,use_match_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes,name_res_status,done
Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haalilioanus (Brack.) K. A. Wilson,accepted,FALSE,0,1,0,NA,NA,American Fern Journal 54: 69. 1964. (Amer. Fern J.) ,http://www.tropicos.org/Name/26602584,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Adiantopsis tweediana (Hook.) Link-Perez & Hickey,Adiantopsis tweedieana (Hook.) Link-Pérez & Hickey,accepted,FALSE,0,1,0,NA,NA,Taxon 60(5): 1266. 2011. (Taxon) ,http://www.tropicos.org/Name/100375261,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Adiantum comorense (Tardieu) Verdc.,Adiantum comoroense (Tardieu) Verdc.,accepted,FALSE,0,1,0,NA,NA,Kew Bulletin 46(2): 272. 1991. (Kew Bull.) ,http://www.tropicos.org/Name/26614577,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Adiantum digitatum Hook.,Adiantum emarginatum Hook.,ambiguous synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Alsophila weidenbrueckiae Lehnert,Alsophila weidenbrueckii Lehnert,accepted,FALSE,1,0,0,NA,NA,"Blumea 61(1): 21, f. 1. (Blumea) ",http://www.tropicos.org/Name/100445482,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Anemia muenchii Christ,Anemia munchii Christ,accepted,FALSE,1,0,0,NA,NA,"Bulletin de l'Herbier Boissier, sér. 2, 7: 792. 1907. (Bull. Herb. Boissier, sér. 2,) ",http://www.tropicos.org/Name/26600021,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Anemia phyllitidis var. tweedieana Hassl.,Anemia phyllitidis var. tweediana (Hook.) Hassl.,accepted,FALSE,0,1,0,NA,NA,Trabajos del Instituto de Botanica y Farmacología 45: 85. 1928. (Trab. Inst. Bot. Farmacol.) ,http://www.tropicos.org/Name/50244424,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Arachniodes coadnata (Ching) Nakaike,Arachniodes coadunata (Ching) Nakaike,synonym,FALSE,1,0,0,NA,NA,,http://www.tropicos.org/Name/100393753,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Arachniodes davalliiformis (H.Christ) Nakaike,Arachniodes davalliaeformis (Christ) Nakaike,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Arachniodes dimorphophylla (Hayata) Ching,Arachniodes dimorphophyllum (Hayata) Ching,synonym,FALSE,1,0,0,NA,NA,Acta Botanica Sinica 10(3): 257. 1962. (Acta Bot. Sin.) ,http://www.tropicos.org/Name/26609186,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Arachniodes oohorae H.Ito,Arachniodes oosorae H. Itô,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Asplenium actinopteroides Peter,Asplenium actiniopteroides Peter,accepted,FALSE,1,0,0,NA,NA,"Repertorium Specierum Novarum Regni Vegetabilis, Beihefte 40: 79. 1929. (Repert. Spec. Nov. Regni Veg. Beih.) ",http://www.tropicos.org/Name/26625443,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Asplenium annobonense Viane,Asplenium morogorense Viane,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Asplenium carnarvonense Brownsey,Asplenium carnavonense Brownsey,accepted,FALSE,0,1,0,NA,NA,Flora of Australia 48: 709. 1998. (Fl. Australia) ,http://www.tropicos.org/Name/100503474,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Asplenium fissum Kit. ex Willd.,Asplenium obtusum Kit. ex Willd.,ambiguous synonym,FALSE,0,1,0,NA,NA,Species Plantarum. Editio quarta 5: 348. 1805. (Sp. Pl.) ,http://www.tropicos.org/Name/26611120,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Asplenium foresiense Legrand,Asplenium forisiense Grand,synonym,FALSE,0,1,0,NA,NA,Statistique du Forez 252. 1873. (Statistique du Forez) ,http://www.tropicos.org/Name/26609727,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Asplenium neolaserpitiifolium Tardieu & Ching,Asplenium neolaserpitifolium Tardieu & Ching,accepted,FALSE,0,1,0,NA,NA,"Notulae Systematicae. Herbier du Museum de Paris 5(2): 153–154, pl. 6, f. 1–2. 1936. (Notul. Syst. (Paris)) ",http://www.tropicos.org/Name/26618269,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Asplenium oblongifolium Col.,Asplenium longifolium D. Don,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Asplenium oldhami Hance,Asplenium oldhamii Hance,accepted,FALSE,0,1,0,NA,NA,"Annales des Sciences Naturelles; Botanique, sér. 5, 5: 256–257. 1866. (Ann. Sci. Nat., Bot., sér. 5,) ",http://www.tropicos.org/Name/50051285,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
