query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes
Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haalilioanus (Brack.) K. A. Wilson,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Adiantopsis tweediana (Hook.) Link-Perez & Hickey,Adiantopsis tweedieana (Hook.) Link-Pérez & Hickey,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Adiantum comorense (Tardieu) Verdc.,Adiantum comoroense (Tardieu) Verdc.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Adiantum dentatum A.H.Wang & F.G.Wang & F.W.Xing,"Adiantum obovatum A. H. Wang, F. G. Wang & F. W. Xing",accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Adiantum digitatum Hook.,Adiantum emarginatum Hook.,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Adiantum obovatum A.H.Wang & F.G.Wang & F.W.Xing,"Adiantum dentatum A. H. Wang, F. G. Wang & F. W. Xing",accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Alsophila weidenbrueckiae Lehnert,Alsophila weidenbrueckii Lehnert,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Anemia muenchii Christ,Anemia munchii Christ,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Anemia phyllitidis var. tweedieana Hassl.,Anemia phyllitidis var. tweediana (Hook.) Hassl.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes coadnata (Ching) Nakaike,Arachniodes coadunata (Ching) Nakaike,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes davalliiformis (H.Christ) Nakaike,Arachniodes davalliaeformis (Christ) Nakaike,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes dimorphophylla (Hayata) Ching,Arachniodes dimorphophyllum (Hayata) Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes fujianensis Ching,Arachniodes hunanensis Ching,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes fujianensis Ching,Arachniodes baiseensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes fujianensis Ching,Arachniodes lushanensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes fujianensis Ching,Arachniodes maoshanensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes fujianensis Ching,Arachniodes gijiangensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes fujianensis Ching,Arachniodes fujiangensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes fujianensis Ching,Arachniodes jiangxiensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes fujianensis Ching,Arachniodes yunnanensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Arachniodes fujianensis Ching,Arachniodes sichuanensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
