query,matched_name,matched_status,query_match_taxon_agree,dist,use_query_as_synonym,use_query_as_accepted,use_query_as_new,taxonomicStatus,namePublishedIn,nameAccordingTo,taxonRemarks,notes
Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haalilioanus (Brack.) K. A. Wilson,accepted,FALSE,3,1,0,0,synonym,NA,NCBI,spelling mistake in species name; fix according to Tropicos,ok
Adiantopsis tweediana (Hook.) Link-Perez & Hickey,Adiantopsis tweedieana (Hook.) Link-Pérez & Hickey,accepted,FALSE,2,0,0,0,NA,NA,NCBI,NA,query and matched_name both need to be fixed. add from new_names.csv
Adiantum comorense (Tardieu) Verdc.,Adiantum comoroense (Tardieu) Verdc.,accepted,FALSE,1,0,1,0,accepted,Kew Bull. 46(2): 272,NCBI,spelling mistake in species name; fix according to Tropicos,ok
Adiantum digitatum Hook.,Adiantum emarginatum Hook.,ambiguous synonym,FALSE,5,0,0,1,accepted,Species Filicum 2: 38. 1858.,https://www.tropicos.org/name/26600368,,"change Adiantum digitatum C. Presl, Adiantum palmatum T. Moore, Adiantum speciosum Hook in WF to synonym"
Alsophila micra R.M.Tryon,Alsophila celsa R. M. Tryon,accepted,FALSE,6,0,0,1,accepted,Contr. Gray Herb. 200: 35 (1970).,NCBI,spelling mistake in species name; fix according to POWO,add Cyathea parva Copel. as synonym of Alsophila micra  https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17382900-1
Alsophila weidenbrueckiae Lehnert,Alsophila weidenbrueckii Lehnert,accepted,FALSE,2,1,0,0,synonym,NA,NCBI,spelling mistake in species name,ok
Anemia muenchii Christ,Anemia munchii Christ,accepted,FALSE,1,1,0,0,synonym,NA,NCBI,spelling mistake in species name,ok
Anemia phyllitidis var. tweedieana Hassl.,Anemia phyllitidis var. tweediana (Hook.) Hassl.,accepted,FALSE,9,0,1,0,accepted,Trab. Inst. Bot. Farmacol. 45: 85,https://www.tropicos.org/name/50244424,spelling mistake in species name,ok
Arachniodes coadnata (Ching) Nakaike,Arachniodes coadunata (Ching) Nakaike,synonym,FALSE,1,1,0,0,synonym,NA,https://www.tropicos.org/name/100393753,spelling mistake in species name,ok
Arachniodes davalliiformis (H.Christ) Nakaike,Arachniodes davalliaeformis (Christ) Nakaike,accepted,FALSE,4,1,0,0,synonym,NA,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17560080-1,spelling mistake in species name,ok
Arachniodes dimorphophylla (Hayata) Ching,Arachniodes dimorphophyllum (Hayata) Ching,synonym,FALSE,2,1,0,0,synonym,NA,https://www.tropicos.org/name/26609186,spelling mistake in species name,ok
Arachniodes oohorae H.Ito,Arachniodes oosorae H. Itô,accepted,FALSE,3,0,1,0,accepted,J. Jap. Bot. 66: 191 (1991),https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17542330-1,spelling mistake in species name,ok
Asplenium actinopteroides Peter,Asplenium actiniopteroides Peter,accepted,FALSE,1,1,0,0,synonym,NA,https://www.tropicos.org/name/26625443,spelling mistake in species name,ok
Asplenium annobonense Viane,Asplenium morogorense Viane,synonym,FALSE,5,0,0,1,accepted,Biologisch Jaarboek 59: 158. 1991. (25 June 1991),https://www.tropicos.org/name/100386029,,ok
Asplenium carnarvonense Brownsey,Asplenium carnavonense Brownsey,accepted,FALSE,1,0,1,0,accepted,Flora of Australia 48: 709. 1998.,https://www.tropicos.org/name/100503474,spelling mistake in species name,ok
Asplenium fissum Kit. ex Willd.,Asplenium obtusum Kit. ex Willd.,ambiguous synonym,FALSE,4,0,0,1,accepted,Species Plantarum. Editio quarta 5: 348. 1805.,https://www.tropicos.org/name/26611120,,ok
Asplenium foresiense Legrand,Asplenium forisiense Grand,synonym,FALSE,4,0,1,0,accepted,Statistique du Forez 252. 1873.,https://www.tropicos.org/name/26609727,spelling mistake in species name,ok
Asplenium neolaserpitiifolium Tardieu & Ching,Asplenium neolaserpitifolium Tardieu & Ching,accepted,FALSE,1,0,1,0,accepted,"Notulae Systematicae. Herbier du Museum de Paris 5(2): 153–154, pl. 6, f. 1–2. 1936.",https://www.tropicos.org/name/26618269,spelling mistake in species name,ok
Asplenium oldhami Hance,Asplenium oldhamii Hance,accepted,FALSE,1,0,1,0,accepted,"Annales des Sciences Naturelles; Botanique, sér. 5, 5: 256–257. 1866.",https://www.tropicos.org/name/50051285,spelling mistake in species name,ok
Asplenium pseudoerectum Hieron.,Asplenium pseuderectum Hieron.,accepted,FALSE,1,0,1,0,accepted,Hedwigia 60: 239. 1918.,https://www.tropicos.org/name/26607628,"Published as ""pseuderectum"", assumed typographical error, correctly spelled pseudoerectum on page 241, and correctable ICBN 61.3. Pre-print published 1918, journal article in 1919.",ok
Asplenium scleropium Homb. & Jacq.,Asplenium scleroprium Hombr. & Jacq.,accepted,FALSE,2,1,0,0,synonym,"Voyage au Pôle sud et dans l'Océanie sur les corvettes l'Astrolabe et la Zelée , t1, f D. 1853.",https://www.tropicos.org/name/100485709,spelling mistake in species name,ok
Asplenium trichomanes subsp. inexpectans Lovis,Asplenium trichomanes subsp. inexpectatum Lovis,accepted,FALSE,3,0,1,0,accepted,British Fern Gazette 9(5): 155. 1964.,https://www.tropicos.org/name/26610417,spelling mistake in species name,ok
Asplenium vittaeforme Cav.,Asplenium vittiforme Cav.,accepted,FALSE,2,0,1,0,accepted,Descripción de las Plantas 255. 1802.,https://www.tropicos.org/name/100484642,spelling mistake in species name,ok
Athyrium bourgaei E. Fourn.,Athyrium bourgeaui E. Fourn.,accepted,FALSE,2,0,1,0,accepted,Mexicanas Plantas 1: 102. 1872.,https://www.tropicos.org/name/26617249,spelling mistake in species name,ok
Athyrium iseanum var. iseanum,Athyrium iseanum Rosenst.,accepted,FALSE,10,1,0,0,synonym,NA,https://www.tropicos.org/name/26611386,autonym,ok
Athyrium myriomerum Christ,Athyrium myriopterum Christ,synonym,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,"Add Diplazium myriomerum (Christ) Lellinger as accepted name, make both query and match synonyms of that"
Cephalomanes javanicum (Blume) Bosch,Cephalomanes javanica (Blume) Bosch,synonym,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Ceratopteris pteridoides (Hook.) Hieron.,Ceratopteris pteridioides (Hook.) Hieron.,accepted,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Cornopteris banahaoensis (C.Chr.) K.Iwats. & M.G.Price,Cornopteris banajaoensis (C. Chr.) K. Iwats. & M. G. Price,accepted,FALSE,5,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Crepidomanes schmidtianum var. latifrons (Bosch) K.Iwats.,Crepidomanes schmidianum var. latifrons (Bosch) K. Iwats.,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Cyclosorus marquesicus (Holttum) Lorence & A.R.Sm.,Cyclosorus marquesicum (Holttum) Lorence & A. R. Sm.,synonym,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Davallodes gymnocarpa Copel.,Davallodes gymnocarpum Copel.,synonym,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Davallodes hirsuta (J.Sm.) Copel.,Davallodes hirsutum (J. Sm.) Copel.,synonym,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Deparia polyrhizon (Baker) Sledge,Deparia polyrhiza (Baker) Sledge,synonym,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Dicksonia berteroana (Colla) Hook.,Dicksonia berteriana (Colla) Hook.,accepted,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Dicksonia fibrosia Col.,Dicksonia fibrosa Colenso,accepted,FALSE,5,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Dicksonia lanata Col.,Dicksonia glabrata Ces.,synonym,FALSE,5,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
