scientificName,acceptedNameUsage,taxonomicStatus,namePublishedIn
Dryopteris redactopinnata Soumen K.Basu & Panigrahi,Dryopteris redactopinnata S.K.Basu & Panigrahi,synonym,NA
Anemia cicutaria Kuntze,Anemia cicutaria Kunze,synonym,NA
Anemia lanuginosa Bongard,Anemia lanuginosa Bong.,synonym,NA
Asplenium anceps R.Br.,Asplenium anceps Buch,synonym,NA
Asplenium polyphyllum Bertero,Asplenium polyphyllum Bertol.,synonym,NA
Asplenium subflexuosum Ros,Asplenium subflexuosum Rosenst.,synonym,NA
Cibotium nealiae Degen.,Cibotium nealiae O. Deg.,synonym,NA
Coniogramme gracilis M.Ogata,Coniogramme gracilis Ogata,synonym,NA
Cyathea holdridgeana Nisman & L.Gomez,Cyathea holdridgeana Nisman & L. D. Gómez,synonym,NA
"Dryopteris crispifolia Rasbach, Reichst. & G.Vida","Dryopteris crispifolia Rasbach, Reichst. & Vida",synonym,NA
Dryopteris shiroumensis Sa.Kurata & Nakam.,Dryopteris shiroumensis Kurata & Nakam.,synonym,NA
Dryopteris subbipinnata W.H.Wagner & R.W.Hobdy,Dryopteris subbipinnata W. H. Wagner & Hobdy,synonym,NA
Eupodium kaulfussii (J.Sm.) J.Sm.,Eupodium kaulfussii (J. Sm.) Hook.,synonym,NA
Hemionitis levyi Fourn.,Hemionitis levyi E. Fourn.,synonym,NA
Hymenophyllum pumilum T.Moore,Hymenophyllum pumilum C. Moore,synonym,NA
Leptopteris wilkesiana (Brack.) Gower,Leptopteris wilkesiana (Brack.) Christ,synonym,NA
Lindsaea incisa Prentice,Lindsaea incisa Prent.,synonym,NA
Lindsaea monocarpa Ros,Lindsaea monocarpa Rosenst.,synonym,NA
Lomariopsis vestita Fourn.,Lomariopsis vestita E. Fourn.,synonym,NA
Ophioglossum namegatae Nish. & Kurita,Ophioglossum namegatae M. Nishida & Kurita,synonym,NA
Ophioglossum parvum M.Nishida & S.Kurita,Ophioglossum parvum M. Nishida & Kurita,synonym,NA
Platycerium superbum Jonch. & Hennipman,Platycerium superbum de Jonch. & Hennipman,synonym,NA
Polystichum acutipinnulum Ching & Shing,Polystichum acutipinnulum Ching & K. H. Shing,synonym,NA
Polystichum bonseyi W.H.Wagner & R.W.Hobdy,Polystichum bonseyi W. H. Wagner & Hobdy,synonym,NA
Polystichum cavernicola Li Bing Zhang & H.He,Polystichum cavernicola L. B. Zhang & H. He,synonym,NA
Polystichum erosum Ching & Shing,Polystichum erosum Ching & K. H. Shing,synonym,NA
Polystichum fengshanense Li Bing Zhang & H.He,Polystichum fengshanense L. B. Zhang & H. He,synonym,NA
Polystichum longifrons Sa.Kurata,Polystichum longifrons Kurata,synonym,NA
Polystichum minutissimum Li Bing Zhang & H.He,Polystichum minutissimum L. B. Zhang & H. He,synonym,NA
"Polystichum puteicola Li Bing Zhang, H.He & Q.Luo","Polystichum puteicola L. B. Zhang, H. He & Q. Luo",synonym,NA
"Polystichum pycnopterum (Christ) Ching, W.M.Chu & Z.R.He",Polystichum pycnopterum (Christ) Ching ex W. M. Chu & Z. R. He,synonym,NA
Polystichum speluncicola Li Bing Zhang & H.He,Polystichum speluncicola L. B. Zhang & H. He,synonym,NA
Pteris pteridioides F.Ballard,Pteris pteridioides (Hook.) Ballard,synonym,NA
Pteris wallichiana C.Agardh,Pteris wallichiana J. Agardh,synonym,NA
Vaginularia paradoxa Miq.,Vaginularia paradoxa (Fée) Mett.,synonym,NA
Aenigmatogrammitis stenophylla (Parris) Parris,NA,accepted,NA
"Boonkerdia khaoluangensis (Tagawa & K.Iwats.) Li Bing Zhang, Pollawatn, X.M.Zhou & Liang Zhang",NA,accepted,Taxon 72(5): 997 (2023)
"Calligrammitis beddomeana (Alderw.) Parris, Sundue, Li Bing Zhang, X.M.Zhou & Ralf Knapp",NA,accepted,Taxon 72(5): 997 (2023)
"Devolia orientalis (T.C.Hsu) Li Bing Zhang, X.M.Zhou, Jian Jun Yang & Ralf Knapp",NA,accepted,NA
"Grammitastrum pseudaustrale (E.Fourn.) Parris, Sundue, Li Bing Zhang & X.M.Zhou",NA,accepted,Taxon 72(5): 997 (2023)
"Haplopteris pluridichotoma (Bonap.) C.W.Chen, S.Linds. & Cicuzza",NA,accepted,NA
Hymenophyllum chamaecyparicola T.C.Hsu & Z.X.Chang,NA,accepted,NA
"Nanogrammitis obtusa (Willd. ex Kaulf.) Parris, Li Bing Zhang, X.M.Zhou & Liang Zhang",NA,accepted,Taxon 72(5): 997 (2023)
"Nanogrammitis pellucidovenosa (Bonap.) Parris, Li Bing Zhang, X.M.Zhou & Liang Zhang",NA,accepted,Taxon 72(5): 997 (2023)
"Nanogrammitis pervillei (Mett. ex Kuhn) Parris, Li Bing Zhang, X.M.Zhou & Liang Zhang",NA,accepted,Taxon 72(5): 997 (2023)
Polypodium pellucidovenosum Bonap.,"Nanogrammitis pellucidovenosa (Bonap.) Parris, Li Bing Zhang, X.M.Zhou & Liang Zhang",synonym,NA
Polypodium pervillei Mett.,"Nanogrammitis pervillei (Mett. ex Kuhn) Parris, Li Bing Zhang, X.M.Zhou & Liang Zhang",synonym,NA
"Rouhania pygmaea (Bory ex Willd.) Li Bing Zhang, X.M.Zhou, Jian Jun Yang & Liang Zhang",NA,accepted,Taxon 72(5): 997 (2023)
Polypodium pygmaeum Buchinger ex Mett.,"Rouhania pygmaea (Bory ex Willd.) Li Bing Zhang, X.M.Zhou, Jian Jun Yang & Liang Zhang",synonym,NA
