scientificName,acceptedNameUsage,taxonomicStatus
Adenophorus abietinus (D.C.Eaton) K.Wilson,Adenophorus abietinus (D. C. Eaton) K. A. Wilson,synonym
Adiantum edentulum f. muticum (Ching) Y.X.Lin,Adiantum wattii (Bedd.) Baker,synonym
Amauropelta cheilanthoides (Kunze) i.Love & D.Love,Amauropelta cheilanthoides (Kunze) Á. & D. Löve,synonym
Asplenium loriceum C.Chr.,Asplenium formosae Christ,synonym
Asplenium obliquissimum (Hayata) Sugim. & Sa.Kurata,Hymenasplenium obliquissimum (Hayata) Sugim.,synonym
"Asplenium subglandulosum (Hook. & Grev.) Salvo, C.Prada & T.E.Diaz","Asplenium subglandulosum (Hook. & Grev.) Salvo, Prada & T. E. Díaz",synonym
Cheilanthes contracta Mett.,Cheilanthes contracta Kunze,synonym
Cheilanthes robusta (Kunze) Tryon,Cheilanthes robusta (Kunze) R. M. Tryon,synonym
Christella conspersa (Schrad.) i.Love & D.Love,Christella conspersa (Schrad.) Á. & D. Löve,synonym
Cyathea milnei Hook.f.,Alsophila milnei (Hook. fil.) R. M. Tryon,synonym
Doodia milnei Carruth.,Doodia milnei Carriere,synonym
Lepisorus xiphiopteris (Baker) W.M.Chu & Y.X.Lin,Lepisorus loriformis (Wall. ex Mett.) Ching,synonym
Paesia rugulosa (Labill.) Diels,Paesia rugosula (Labill.) Kuhn,synonym
Sadleria unisora (Baker) W.J.Rob.,Sadleria unisora (Baker) Rob.,synonym
