scientificName,taxonomicStatus,namePublishedIn,acceptedNameUsage
Asplenium incurvatum Fee Fee,synonym,,Asplenium incurvatum Fée
Blechnum fraseri var. philippense (Christ) Copel.,synonym,,Blechnum fraseri var. philippinensis (Christ) Copel.
Bolbitis arguta (Fée) Ching,accepted,"Index Filic., Suppl. Tert. 47. 1934",
Bolbitis arguta (Fee) Ching,synonym,,Bolbitis arguta (Fée) Ching
Diplazium platyphyllum Christ,accepted,"Bull. Acad. Int. Géogr. Bot. sér. 3, 17(212): 148 (1907).",
Grammitis pseudomitchelliae Lellinger,synonym,,Grammitis pseudomitchellae Lellinger
Ophioderma intermedium (Hook.) Nishida,synonym,,Ophioderma intermedia (Hook.) Nishida
Thelypteris pachyrhachis (Kunze ex Mett.) Ching,synonym,,Thelypteris pachyrachis (Kunze ex Mett.) Ching
Adiantum klossii Gepp,synonym,,Adiantum klossii A. Gepp
"Athyrium oppositipennum var. pubescens (Tagawa) Yea C.Liu, W.L.Chiou & H.Y.Liu",synonym,,"Athyrium oppositipennum var. pubescens (Tagawa) Y. C. Liu, W. L. Chiou & H. Y. Liu"
Athyrium x purpurascens (Tagawa) Sa.Kurata,synonym,,Athyrium × purpurascens (Tagawa) Kurata
Bolbitis laxireticulata K.Iwats.,synonym,,Bolbitis × laxireticulata K. Iwats.
Elaphoglossum annamense C.Chr. & Tardieu,synonym,,Elaphoglossum annamense C. Chr. & Tardieu-Blume
Hiya scabristipes (Brownsey) Hui Shang,synonym,,Hiya scabristipes (Brownsey) H. Shang
Hymenophyllum rufum Fee Fee,synonym,,Hymenophyllum rufum Fée
Lepisorus rostratus (Bedd.) B.K.Nayar & S.Kaur,synonym,,Lepisorus rostratus (Hook.) B. K. Nayar & Kaur
Leptochilus hemitomus (Hance) Noot.,synonym,,Leptochilus × hemitomus (Hance) Noot.
Microgramma lindbergii (Mett.) Sota,synonym,,Microgramma lindbergii (Mett.) de la Sota
Polystichopsis ochropteroides (Baker) C.V.Morton,synonym,,Polystichopsis ochropteroides (Baker) Morton
Thelypteris arida (D.Don) C.V.Morton,synonym,,Thelypteris arida (D. Don) Morton
Thelypteris reptans (J.F.Gmel.) C.V.Morton,synonym,,Thelypteris reptans (J. F. Gmel.) Morton
Trichomanes bilabiatum Nees & Blume,synonym,,Trichomanes bilabiatum Nees ex Blume
Danaea alba Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea ampla Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea andina Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea antioquiana Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea cuspidopsis Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea elongata Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea kessleri Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea opaca Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea panamensis Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea polypinna Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea pumila Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
Danaea ubatubensis Keskiniva & Tuomisto,accepted,Willdenowia 53(3): 175 (2024).  10.3372/wi.53.53303,
